Script,Rate,Trace,Throughput,TPOT_P50,TPOT_P90,TPOT_P99,ITL_P50,ITL_P90,ITL_P99
dp,16,4k_baseline,15396.7,8.47,8.55,9.76,8.36,9.83,17.18
dcp,16,4k_baseline,14541.98,21.65,22.88,22.97,20.54,23.36,60.02
dp,16,1%_128k,15208.3,11.14,11.45,11.63,10.93,13.04,23.86
dcp,16,1%_128k,14267.36,25.9,27.15,27.35,23.33,27.26,83.63
dp,16,1%_256k,14782.57,14.1,15.72,16.48,13.93,17.87,51.14
dcp,16,1%_256k,14082.04,28.28,29.33,29.44,24.87,29.89,96.95
dp,16,1%_512k,14261.63,21.13,22.2,22.63,20.38,27,93.27
dcp,16,1%_512k,13467.22,34.54,39.7,40.49,29.58,39.5,139.23
dp,16,1%_1m,10461.26,35.72,36.69,36.93,33.6,53.8,208.28
dcp,16,1%_1m,11967,48.18,60.89,61.4,39.74,61.3,239
dp,8,4k_baseline,7964.33,7.31,7.47,7.55,7.2,7.87,11.22
dcp,8,4k_baseline,7888.95,11.1,11.51,11.65,10.99,11.97,17.25
dp,8,1%_128k,7938.02,9.58,10.13,10.31,9.85,10.61,13.8
dcp,8,1%_128k,7880.44,11.94,12.53,12.71,11.83,12.94,17.65
dp,8,1%_256k,7799.46,12.2,12.79,12.96,12.5,13.42,17.17
dcp,8,1%_256k,7879.53,11.71,12.12,12.24,11.48,12.66,20.69
dp,8,1%_512k,7746.72,18.66,18.9,19.15,18.52,19.96,38.13
dcp,8,1%_512k,7856.34,12.75,13.4,13.67,12.55,14.04,30.53
dp,8,1%_1m,7342.92,29.92,30.25,30.35,29.45,31.83,89.4
dcp,8,1%_1m,7783.18,15.24,16.76,17.58,15.07,17.43,50.63
dp,4,4k_baseline,4040.9,6.82,6.98,7.07,6.73,7.15,10.34
dcp,4,4k_baseline,4033.89,8.54,9,9.43,8.53,9.23,11.99
dp,4,1%_128k,4038.26,7.76,9.38,9.69,7.19,9.7,11.82
dcp,4,1%_128k,4030.44,9.17,9.68,9.95,9.14,9.91,11.51
dp,4,1%_256k,4002.79,8.8,11.94,12.39,7.08,12.36,14.18
dcp,4,1%_256k,4027.01,8.83,9.44,9.79,8.79,9.7,13.31
dp,4,1%_512k,4025.63,13.14,18.24,18.33,17.26,18.44,21.37
dcp,4,1%_512k,4030.88,9.24,10.18,10.49,9.02,10.53,14.72
dp,4,1%_1m,3058.98,28.39,28.85,28.99,28.22,29.27,34.61
dcp,4,1%_1m,4020.02,9.95,11.96,12.26,9.36,12.25,16.3
dp,2,4k_baseline,2033.9,6.87,6.93,7.11,6.8,7.08,10.3
dcp,2,4k_baseline,2033.05,7.83,8.1,8.36,7.93,8.28,11.29
dp,2,1%_128k,1993.44,6.83,8.73,9.35,6.74,9.35,10.73
dcp,2,1%_128k,1989.2,7.95,8.33,8.46,7.98,8.45,9.7
dp,2,1%_256k,2029.25,6.66,10.67,12.07,6.58,11.98,12.96
dcp,2,1%_256k,2031.48,7.98,8.45,8.84,8.02,8.73,11.36
dp,2,1%_512k,2033.35,6.7,16.64,17.82,6.62,17.75,18.53
dcp,2,1%_512k,2031.99,8.03,9.15,9.59,8.03,9.46,12.03
dp,2,1%_1m,2018.39,12.83,28.09,28.44,7.01,28.3,29.98
dcp,2,1%_1m,2032.73,7.67,10.36,10.76,7.7,10.67,12.47
dp,1,4k_baseline,1020.66,6.45,6.58,6.66,6.36,6.63,9.8
dcp,1,4k_baseline,1020.79,6.55,7.15,7.31,6.36,7.25,8.07
dp,1,1%_128k,1010.4,6.63,7.87,9.16,6.57,8.98,10.38
dcp,1,1%_128k,1010.15,7.05,7.55,7.69,6.94,7.64,8.45
dp,1,1%_256k,1020.65,6.49,8.97,11.87,6.41,11.34,12.25
dcp,1,1%_256k,1010.19,7.07,7.56,8.29,6.93,7.69,8.66
dp,1,1%_512k,1020.7,6.49,13.39,17.59,6.43,17.44,17.93
dcp,1,1%_512k,1008.18,7.06,8.01,8.94,6.87,8.32,9.31
dp,1,1%_1m,1020.18,6.51,24.47,27.88,6.47,27.72,28.37
dcp,1,1%_1m,1010.22,7.12,9.19,10.37,7.18,10.11,10.74
